CrimeType,DateTime,Time,
2,7/13/2016 0:00,12:00 AM,"0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0"
1,7/13/2016 1:00,1:00 AM,"1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
1,7/16/2016 1:00,1:00 AM,"0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1"
3,7/20/2016 1:00,1:00 AM,"0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
2,7/10/2016 1:30,1:30 AM,
4,7/10/2016 2:00,2:00 AM,
2,7/15/2016 2:00,2:00 AM,
3,7/10/2016 2:30,2:30 AM,"0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0"
3,7/10/2016 2:30,2:30 AM,
4,7/13/2016 3:00,3:00 AM,
4,7/16/2016 3:00,3:00 AM,
1,7/25/2016 4:00,4:00 AM,
3,7/18/2016 7:00,7:00 AM,
3,7/24/2016 8:15,8:15 AM,
3,7/14/2016 13:00,1:00 PM,
3,7/14/2016 13:00,1:00 PM,
3,7/10/2016 15:00,3:00 PM,
3,7/10/2016 16:30,4:30 PM,
1,7/22/2016 18:00,6:00 PM,
1,7/18/2016 18:30,6:30 PM,
3,7/11/2016 20:40,8:40 PM,
4,7/13/2016 22:00,10:00 PM,
2,7/18/2016 22:00,10:00 PM,
3,7/21/2016 22:00,10:00 PM,
3,7/21/2016 22:30,10:30 PM,
